time,Users,Connected 
0,7834,7486 
10,28023,27652 
20,48086,47801 
30,68160,67908 
40,88511,88297 
50,108438,108228 
60,128223,128019 
70,148160,147929 
80,168068,167843 
90,188249,187740 
100,208398,207744 
110,228519,227729 
120,248437,247529 
130,268563,267697 
140,288348,287542 
150,308084,307344 
160,328221,327499 
170,348247,347553 
180,368434,367787 
190,388709,388103 
200,408621,408086 
210,428493,428002 
220,448692,448219 
230,468798,468404 
240,488533,488145 
250,508463,508138 
260,528450,528127 
270,548505,548209 
280,568266,568018 
290,588252,587997 
300,608169,607846 
310,628494,628094 
320,648542,648224 
330,668590,668254 
340,688528,688032 
350,708290,707612 
360,728089,727280 
370,748298,747449 
380,768296,767535 
390,788543,787743 
400,808726,807979 
410,828784,828092 
420,848801,848176 
430,868782,868171 
440,888599,888044 
450,908318,907787 
460,928139,927651 
470,948086,947654 
480,967867,967462 
490,987844,987484 
500,1008004,1000218 
510,1027692,1000249 
520,1031852,1000382 